participant_id,time_gameplayed_utc,time_sent_utc,detail,condition,trial_number,name,inter_time_interval,response_time,response_window,late_response,correct_button
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,9,DG-02-TJ-029,540,287.8989577,260,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,10,DG-02-TJ-029,500,373.2990026,390,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,10,DG-02-TJ-029,540,71.19297981,300,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,11,DG-02-TJ-029,500,316.4070249,370,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,11,DG-02-TJ-029,540,305.47297,380,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,12,DG-02-TJ-029,500,314.1590357,330,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,12,DG-02-TJ-029,540,302.5929928,370,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,13,DG-02-TJ-029,500,449.1519928,250,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,13,DG-02-TJ-029,540,297.0399857,360,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,14,DG-02-TJ-029,500,401.1650085,290,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,14,DG-02-TJ-029,540,298.9850044,340,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,15,DG-02-TJ-029,500,392.9669857,330,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,15,DG-02-TJ-029,540,344.8570371,300,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,16,DG-02-TJ-029,500,475.1809835,410,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,16,DG-02-TJ-029,540,140.3920054,340,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,17,DG-02-TJ-029,570,443.3709979,570,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,17,DG-02-TJ-029,540,324.6150017,380,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,18,DG-02-TJ-029,570,495.1030016,560,0,1
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,18,DG-02-TJ-029,540,433.2020283,370,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,19,DG-02-TJ-029,570,570,550,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Right,19,DG-02-TJ-029,540,466.9870138,410,1,0
ADMIN-UCSF-,2017-05-22 17:47:08+00:00,2017-05-22 18:03:54+00:00,,Left,20,DG-02-TJ-029,,,,,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,0,DG-02-OO-028,500,295.0279713,500,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,0,DG-02-OO-028,500,296.4670062,500,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,1,DG-02-OO-028,500,252.0489693,490,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,1,DG-02-OO-028,500,252.0329952,490,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,2,DG-02-OO-028,500,278.6630392,480,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,2,DG-02-OO-028,500,234.3220115,480,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,3,DG-02-OO-028,500,250.1419783,460,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,3,DG-02-OO-028,500,232.7070236,460,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,4,DG-02-OO-028,500,244.2150116,420,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,4,DG-02-OO-028,500,259.1459751,420,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,5,DG-02-OO-028,500,235.3740335,340,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,5,DG-02-OO-028,500,258.2209706,340,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,6,DG-02-OO-028,500,243.2219982,180,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,6,DG-02-OO-028,500,257.2270036,180,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,7,DG-02-OO-028,500,242.2170043,220,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,7,DG-02-OO-028,500,263.3270025,220,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,8,DG-02-OO-028,500,242.4170375,260,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,8,DG-02-OO-028,500,270.0790167,260,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,9,DG-02-OO-028,500,242.513001,250,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,9,DG-02-OO-028,500,279.8330188,340,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,10,DG-02-OO-028,500,233.6729765,240,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,10,DG-02-OO-028,500,256.4519644,330,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,11,DG-02-OO-028,500,228.3970118,220,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,11,DG-02-OO-028,500,237.8630042,320,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,12,DG-02-OO-028,500,233.8260412,260,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,12,DG-02-OO-028,500,280.1849842,300,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,13,DG-02-OO-028,500,236.8959785,250,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,13,DG-02-OO-028,500,279.9640298,260,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,14,DG-02-OO-028,500,190.8809543,240,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,14,DG-02-OO-028,500,259.7820163,300,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,15,DG-02-OO-028,500,242.857039,220,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,15,DG-02-OO-028,500,264.2830014,290,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,16,DG-02-OO-028,500,283.0330133,260,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,16,DG-02-OO-028,500,262.5319958,280,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,17,DG-02-OO-028,500,250.0619888,300,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,17,DG-02-OO-028,500,268.2899833,260,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,18,DG-02-OO-028,500,234.7319722,290,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,18,DG-02-OO-028,500,331.0769796,300,1,0
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Left,19,DG-02-OO-028,500,259.4019771,280,0,1
ADMIN-UCSF-,2017-05-18 20:54:49+00:00,2017-05-18 21:09:09+00:00,,Right,19,DG-02-OO-028,500,424.5150089,340,1,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,0,DG-03-HS-017,500,333.7279558,500,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,0,DG-03-HS-017,500,321.9010234,500,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,1,DG-03-HS-017,,,,,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,1,DG-03-HS-017,500,230.8769822,490,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,2,DG-03-HS-017,500,371.4140058,490,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,2,DG-03-HS-017,500,236.3929749,480,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,3,DG-03-HS-017,,,,,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,3,DG-03-HS-017,500,254.4850111,460,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,4,DG-03-HS-017,500,345.5510139,480,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,4,DG-03-HS-017,500,233.5119843,420,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,5,DG-03-HS-017,500,374.5210171,460,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,5,DG-03-HS-017,500,375.5840063,340,1,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,6,DG-03-HS-017,500,500,420,1,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,6,DG-03-HS-017,500,228.9080024,380,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,7,DG-03-HS-017,,,,,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,7,DG-03-HS-017,500,309.1699481,370,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,8,DG-03-HS-017,500,379.4749975,460,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,8,DG-03-HS-017,500,226.0710001,360,0,1
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Left,9,DG-03-HS-017,500,500,450,1,0
ADMIN-UCSF-,2017-05-18 19:25:39+00:00,2017-05-18 19:41:03+00:00,,Right,9,DG-03-HS-017,500,267.7810192,340,0,1
