Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,RG Color Deficiency,Trial Correct,Trial Cue,Trial Response
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,3,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,35,-1
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,4,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,3,-1
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,5,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,12,12
ucsfww0011,2019-09-12T16:37:20.714Z,2019-09-12T16:37:20.714Z,,default,6,53.59256,146.14653,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,6,6
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,0,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,-1,-1
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,1,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,7,7
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,2,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,8,-1
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,3,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,35,-1
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,4,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,1,12,12
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,5,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,6,-1
ucsfww0011,2019-09-12T16:38:44.122Z,2019-09-12T16:38:44.122Z,,default,6,53.7136269,145.214417,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,N/A,0,5,3
