Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Object Count,Point 0 RT,Point 1 RT,Point 10 RT,Point 11 RT,Point 12 RT,Point 13 RT,Point 14 RT,Point 2 RT,Point 3 RT,Point 4 RT,Point 5 RT,Point 6 RT,Point 7 RT,Point 8 RT,Point 9 RT,Response Time,Response Window,Stimulus Array Time,Tap 0 RT,Tap 1 RT,Tap 10 RT,Tap 11 RT,Tap 12 RT,Tap 13 RT,Tap 14 RT,Tap 2 RT,Tap 3 RT,Tap 4 RT,Tap 5 RT,Tap 6 RT,Tap 7 RT,Tap 8 RT,Tap 9 RT,Total Taps
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,6,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,4,"{99, 293}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{230, 224}","{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,2950,-1,5000,1784,1166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,7,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{230, 224}","{99, 293}",N/A,N/A,N/A,N/A,N/A,"{446, 61}","{249, 41}",N/A,N/A,N/A,N/A,N/A,N/A,3300,-1,5000,1083,917,N/A,N/A,N/A,N/A,N/A,783,517,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,8,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,4,"{230, 224}","{427, 315}",N/A,N/A,N/A,N/A,N/A,"{446, 61}","{49, 102}",N/A,N/A,N/A,N/A,N/A,N/A,2600,-1,5000,200,933,N/A,N/A,N/A,N/A,N/A,733,734,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,9,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{99, 293}","{427, 315}",N/A,N/A,N/A,N/A,N/A,"{591, 244}","{230, 224}","{249, 41}",N/A,N/A,N/A,N/A,N/A,2666,-1,6000,883,800,N/A,N/A,N/A,N/A,N/A,983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,10,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{640, 122}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{99, 293}","{456, 183}","{446, 61}",N/A,N/A,N/A,N/A,N/A,2083,-1,6000,516,667,N/A,N/A,N/A,N/A,N/A,900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,11,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,1,5,"{249, 41}","{446, 61}",N/A,N/A,N/A,N/A,N/A,"{640, 122}","{427, 315}","{230, 224}",N/A,N/A,N/A,N/A,N/A,4517,-1,6000,1084,783,N/A,N/A,N/A,N/A,N/A,817,983,850,N/A,N/A,N/A,N/A,N/A,5
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,12,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{230, 224}","{640, 122}",N/A,N/A,N/A,N/A,N/A,"{456, 183}","{591, 244}","{249, 41}",N/A,N/A,N/A,N/A,N/A,1833,-1,6000,1133,700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,13,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{99, 293}","{249, 41}",N/A,N/A,N/A,N/A,N/A,"{230, 224}","{591, 244}","{49, 102}",N/A,N/A,N/A,N/A,N/A,2366,-1,6000,650,766,N/A,N/A,N/A,N/A,N/A,950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
ucsfww0007,2019-09-12T16:49:59.191Z,2019-09-12T16:49:59.191Z,,default,14,56.52876,93.6634,Successful,Real,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,5,"{591, 244}","{640, 122}",N/A,N/A,N/A,N/A,N/A,"{446, 61}","{49, 102}","{249, 41}",N/A,N/A,N/A,N/A,N/A,3917,-1,6000,1483,800,N/A,N/A,N/A,N/A,N/A,850,784,N/A,N/A,N/A,N/A,N/A,N/A,4
ucsfww0008,2019-09-12T16:41:29.035Z,2019-09-12T16:41:29.035Z,,default,0,59.72178,22.8912,Successful,StartingWindow,iOS 12.4.1,1536,2048,1.11.23,PST,326,"iPad4,4",Handheld,Apple A7 GPU,English,2,0,IPhonePlayer,972,0,0,3,"{99, 293}","{230, 224}",N/A,N/A,N/A,N/A,N/A,"{446, 61}",N/A,N/A,N/A,N/A,N/A,N/A,N/A,917,-1,4000,917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
