Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,RG Color Deficiency,Trial Correct,Trial Cue,Trial Response
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,3,122.258385,66.91259,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,96,96
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,4,122.185715,67.10979,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,5,122.163483,67.61523,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_ss,2020-05-19T23:08:50.427Z,2020-05-19T23:08:50.427Z,,default,6,122.076805,69.2029648,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,0,123.828217,71.3998947,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,15,15
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,1,124.18042,71.89042,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,12,12
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,2,123.091911,75.81225,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,16,16
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,3,123.081619,62.69042,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,8,8
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,4,122.607094,74.03685,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,-1,-1
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,5,122.415932,68.8068161,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,6,6
nsinternal_vs,2020-05-23T04:05:48.475Z,2020-05-23T04:05:48.475Z,,default,6,122.709076,71.03858,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,N/A,1,42,42
