Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Button Pressed,Correct Button,Cue Displayed,Late Response,Response Time,Response Window,Stimulus Color,Stimulus Shape,TaskSwitch State
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,34,91.787384,329.713379,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,1,700,596,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,35,91.6730347,326.1952,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,400,506,Purple,Moon,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,36,91.62204,322.264862,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,0,Shape,0,567,676,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,37,91.42389,324.6784,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,666,796,Orange,Moon,1
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,38,91.34858,321.28595,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,433,486,Orange,Sun,2
nsinternal_ss,2020-05-20T00:59:02.064Z,2020-05-20T00:59:02.064Z,,default,39,91.26326,317.7898,Successful,Real,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,717,786,Purple,Sun,1
nsinternal_ss,2020-05-20T00:58:45.628Z,2020-05-20T00:58:45.628Z,,default,0,87.52309,301.7712,Successful,StartingWindow,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,900,-1,Orange,Sun,0
nsinternal_ss,2020-05-20T00:58:45.628Z,2020-05-20T00:58:45.628Z,,default,1,92.49765,436.1382,Successful,StartingWindow,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,484,-1,Purple,Sun,2
nsinternal_ss,2020-05-20T00:58:45.628Z,2020-05-20T00:58:45.628Z,,default,2,96.42909,504.907532,Successful,StartingWindow,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,466,-1,Purple,Moon,1
nsinternal_ss,2020-05-20T00:58:45.628Z,2020-05-20T00:58:45.628Z,,default,3,99.41828,545.841858,Successful,StartingWindow,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,433,-1,Purple,Moon,2
nsinternal_ss,2020-05-20T00:58:45.628Z,2020-05-20T00:58:45.628Z,,default,4,101.443253,560.1001,Successful,StartingWindow,N/A,Mac OS X 10_15_4,799,839,1.16.35,Pacific Standard Time,0,Chrome 81,Desktop,NVIDIA GeForce GT 750M OpenGL Engine,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,433,-1,Orange,Moon,1
