Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Blue Distractors,Button Pressed,Correct Button,Cue Rotated,Degree Of Change,Difficulty Level,Late Response,Original Orientation,Red Rectangles,Response Time,Response Window
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,2,105.8944,371.742981,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Easy,0,1.71042264,2,534,730
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,3,106.375641,367.49823,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Medium,0,0,2,500,720
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,4,106.745918,361.702362,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Medium,0,0,2,434,700
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,5,107.081528,356.996429,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Hard,0,0,2,500,670
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,6,107.410561,351.370575,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Hard,0,1.23918378,2,450,630
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,7,107.650818,346.519836,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Hard,0,2.54818058,2,500,580
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,8,107.897873,340.4986,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Hard,0,0,2,500,520
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,9,108.105652,335.9273,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Same,1,0,0,Hard,1,0,2,583,450
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,10,108.340042,330.6612,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Medium,1,0.209439516,2,683,490
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B0,11,108.440552,329.980774,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,0,Different,1,1,0.7853982,Medium,1,2.18166161,2,617,570
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,0,109.576881,286.626923,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Same,1,0,0,Hard,0,0,2,700,700
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,1,109.558311,285.318146,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Different,1,1,0.7853982,Hard,0,1.91986215,2,600,740
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,2,109.616821,280.412048,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Same,1,0,0,Hard,0,0,2,700,730
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,3,109.634918,277.087,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Same,1,0,0,Hard,0,0,2,599,710
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,4,109.66877,273.180359,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Same,1,0,0,Hard,0,0,2,651,680
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,5,109.637039,270.2549,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Different,1,1,0.7853982,Hard,0,1.67551613,2,500,640
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,6,109.6861,266.1961,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Same,1,0,0,Hard,1,0,2,617,590
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,7,109.621407,266.002747,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Different,1,1,0.7853982,Hard,0,2.05948853,2,534,630
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,8,109.633629,263.133423,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Different,1,1,0.7853982,Hard,1,0.7679449,2,666,620
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,9,109.569763,262.753723,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Different,1,1,0.7853982,Hard,0,0.06981317,2,584,660
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,10,109.587852,259.3153,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Same,1,0,0,Hard,0,0,2,399,650
nsinternal_ras,2020-05-20T11:55:33.956Z,2020-05-20T11:55:33.956Z,,R2B2,11,109.579536,256.620178,Successful,Real,N/A,Windows 10,799,1198,1.16.35,Central European Standard Time,0,Chrome 81,Desktop,ANGLE (NVIDIA GeForce GTX 1080 Direct3D11 vs_5_0 ps_5_0),English,1,0,WebGLPlayer,256,0,2,Different,1,1,0.7853982,Hard,0,0.383972436,2,599,630
