Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,11,117.8501,77.5194244,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,900,0,333,347
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,12,117.8538,77.51348,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1200,1,400,317
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,13,117.858368,77.68177,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1000,0,300,357
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,14,117.847649,77.68175,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,800,0,334,347
nsinternal_ag,2020-05-19T23:20:23.043Z,2020-05-19T23:20:23.043Z,,Right,15,117.855766,77.81163,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.35,PST,0,Safari 13.1,Desktop,Intel(R) UHD Graphics 630,English,1,0,WebGLPlayer,256,0,1,1000,1,350,327
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,0,117.432465,107.112228,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1000,0,500,516
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,1,119.667053,100.6585,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1200,0,350,506
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,2,120.19,78.02664,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,900,0,283,486
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,3,116.898148,46.8856926,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,800,0,317,456
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,4,118.083908,80.61837,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1100,0,300,416
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,5,116.577042,54.9999123,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1000,0,267,366
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,6,117.670395,106.266891,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1100,0,283,306
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,7,120.7311,92.60243,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1200,1,284,236
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,8,120.422005,63.22704,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,900,1,334,276
