"","TIME:","2017-09-08T09:55:54-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
    TraceTime = 20;
}","",""
"Tap & Trace (Trace)",
"TOTAL DOTS TRACED"
"213",
"Trace Only",
"TOTAL DOTS TRACED"
"49",
"Tap & Trace",
"Correct Button","DISCRIMINATION CUE TYPE","Is Valid Cue","Response Window","Trial Accuracy","Response Time","CUE","Late Response",
"Game Settings:","{
    Actual = 40;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
    TraceTime = 20;
}","",""
"Tap & Trace (Trace)",
"TOTAL DOTS TRACED"
"172",
"Trace Only",
"TOTAL DOTS TRACED"
"44",
"Tap & Trace",
"Correct Button","DISCRIMINATION CUE TYPE","Is Valid Cue","Response Window","Trial Accuracy","Response Time","CUE","Late Response",
"1","TARGET","1","800","Hit","657.6039791107178","Green Circle","0",
"1","MCL","0","790","Correct Rejection","0","Yellow Circle","N/A",
"1","TARGET","1","790","Hit","408.3030223846436","Green Circle","0",
"1","HCL","0","780","Correct Rejection","0","Green Pentagon","N/A",
"1","HCL","0","780","Correct Rejection","0","Green Pentagon","N/A",
"1","TARGET","1","780","Hit","456.8470120429993","Green Circle","0",
"1","HCL","0","760","Correct Rejection","0","Green Square","N/A",
"1","MCL","0","760","Correct Rejection","0","Yellow Circle","N/A",
