"","TIME:","2017-09-08T09:26:35-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","640","462.6110196113586","0","2","1",
"1","720","565.4829740524292","0","1","0",
"1","560","664.5690202713013","1","2","0",
"0","640","N/A","1","1","1",
"1","550","515.127956867218","0","2","1",
"0","540","830.0009965896606","1","2","1",
"1","580","681.4029812812805","1","2","1",
"1","570","329.5599818229675","0","2","1",
"0","560","N/A","1","2","1",
"1","600","405.8390259742737","0","2","1",






"","TIME:","2017-09-28T13:07:07-0700","",""
"","USER ID:","ADMIN-UCSF-pe164","",""
"","User Name:","pe164","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"0","800","387.1530294418335","0","0","1",
"1","800","372.3210096359253","0","2","1",
"1","800","338.7329578399658","0","1","0",
"1","790","370.2549934387207","0","2","0",
"1","780","387.5749707221985","0","2","0",
"0","790","420.490026473999","0","1","1",
"0","760","800.117015838623","1","2","1",
"1","800","617.1290278434753","0","2","1",
"1","830","383.7630152702332","0","1","0",
"1","790","450.6730437278748","0","2","0",
"1","780","299.8290061950684","0","2","0",
"1","820","398.1450200080872","0","1","1",
"1","760","383.5300207138062","0","2","1",
"1","720","316.0439729690552","0","2","1",
"1","810","400.1560211181641","0","1","0",
"1","640","316.8279528617859","0","2","0",
"1","480","466.4680361747742","0","2","0",
"1","790","381.0029625892639","0","1","1",
"1","160","447.2509622573853","1","2","1",
"1","750","366.504967212677","0","1","0",
"0","150","596.5909957885742","1","2","0",
"1","670","310.2859854698181","0","1","1",
"1","190","364.3530011177063","1","2","1",
"1","510","379.6859979629517","0","1","0",
"1","180","298.209011554718","1","2","0",
"1","170","430.0860166549683","1","2","0",
"1","190","413.6360287666321","1","1","1",
"0","160","296.3299751281738","1","2","1",
"1","800","431.4259886741638","0","2","1",
"1","790","498.1110095977783","0","2","1",






"","TIME:","2017-09-29T10:44:30-0700","",""
"","USER ID:","ADMIN-UCSF-pe250","",""
"","User Name:","pe250","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","LEFT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","800","551.3589978218079","0","0","1",
"1","800","371.055006980896","0","2","1",
"1","800","435.666024684906","0","1","0",
"1","790","419.7579622268677","0","2","0",
"1","780","455.6570053100586","0","2","0",
"1","790","487.0919585227966","0","1","1",
"1","760","484.8719835281372","0","2","1",
"1","780","364.1639947891235","0","1","0",
"1","720","426.3750314712524","0","2","0",
"1","760","487.1209859848022","0","1","1",
"1","640","432.2310090065002","0","2","1",
"1","480","400.9169936180115","0","2","1",
"1","720","383.4540247917175","0","1","0",
"1","160","365.4459714889526","1","2","0",
"1","640","553.0669689178467","0","1","1",
"1","150","395.9149718284607","1","2","1",
"1","140","399.4640111923218","1","2","1",
"1","480","417.290985584259","0","1","0",
"1","130","387.5499963760376","1","2","0",
