"","TIME:","2017-09-28T09:03:57-0700","",""
"","USER ID:","ADMIN-UCSF-pe193","",""
"","User Name:","pe193","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","RED","800","CONGRUENT","765.0730013847351","0","RED",
"0","GREEN","800","INCONGRUENT","700.3960013389587","0","RED",
"1","WHITE","790","CONGRUENT","584.4190120697021","0","WHITE",
"1","WHITE","780","CONGRUENT","333.0050110816956","0","WHITE",
"0","GREEN","840","INCONGRUENT","N/A","0","N/A",
"1","GREEN","760","CONGRUENT","617.0200109481812","0","GREEN",
"1","RED","720","CONGRUENT","625.7419586181641","0","RED",
"1","RED","640","CONGRUENT","440.5229687690735","0","RED",
"1","RED","480","CONGRUENT","465.8949971199036","0","RED",
"1","RED","160","CONGRUENT","549.9299764633179","1","RED",
"1","WHITE","150","CONGRUENT","621.8680143356323","1","WHITE",
"1","RED","140","CONGRUENT","564.4869804382324","1","RED",
"1","RED","130","CONGRUENT","405.0300121307373","1","RED",
"1","GREEN","120","CONGRUENT","457.2350382804871","1","GREEN",
"0","YELLOW","880","INCONGRUENT","523.1689810752869","0","GREEN",
"1","WHITE","110","CONGRUENT","530.6249856948853","1","WHITE",
"1","YELLOW","960","INCONGRUENT","505.0959587097168","0","YELLOW",
"1","WHITE","950","INCONGRUENT","541.204035282135","0","WHITE",
"1","GREEN","940","INCONGRUENT","858.534038066864","0","GREEN",
"1","YELLOW","920","INCONGRUENT","871.5239763259888","0","YELLOW",
"1","GREEN","100","CONGRUENT","779.1680097579956","1","GREEN",
"1","YELLOW","880","INCONGRUENT","788.5820269584656","0","YELLOW",
"1","RED","90","CONGRUENT","534.3999862670898","1","RED",
"1","GREEN","80","CONGRUENT","613.0399703979492","1","GREEN",
"1","RED","70","CONGRUENT","586.9829654693604","1","RED",
"1","YELLOW","60","CONGRUENT","578.6329507827759","1","YELLOW",
"1","RED","50","CONGRUENT","635.5519890785217","1","RED",
"1","YELLOW","40","CONGRUENT","596.780002117157","1","YELLOW",
"1","WHITE","30","CONGRUENT","328.4180164337158","1","WHITE",
"1","GREEN","20","CONGRUENT","358.1709861755371","1","GREEN",
"0","GREEN","800","INCONGRUENT","637.2269988059998","0","RED",
"1","WHITE","10","CONGRUENT","719.3090319633484","1","WHITE",
"1","GREEN","0","CONGRUENT","428.4929633140564","1","GREEN",
"1","YELLOW","150","CONGRUENT","569.3449974060059","1","YELLOW",
"1","YELLOW","140","CONGRUENT","352.7370095252991","1","YELLOW",
"1","WHITE","130","CONGRUENT","444.8039531707764","1","WHITE",
"0","RED","120","CONGRUENT","504.8920512199402","1","GREEN",
"1","GREEN","840","INCONGRUENT","518.576979637146","0","GREEN",
"1","GREEN","10360","CONGRUENT","891.7060494422913","0","GREEN",
"1","GREEN","830","INCONGRUENT","523.5610008239746","0","GREEN",
"1","GREEN","10350","CONGRUENT","557.8349828720093","0","GREEN",
"1","WHITE","820","INCONGRUENT","390.7479643821716","0","WHITE",
"1","GREEN","800","INCONGRUENT","694.2930221557617","0","GREEN",
"1","WHITE","10340","CONGRUENT","597.1900224685669","0","WHITE",
"0","YELLOW","760","INCONGRUENT","392.6719427108765","0","GREEN",
"1","WHITE","10320","CONGRUENT","616.9999837875366","0","WHITE",
"1","YELLOW","800","INCONGRUENT","697.845995426178","0","YELLOW",
"1","WHITE","10280","CONGRUENT","399.8109698295593","0","WHITE",
"1","RED","10200","CONGRUENT","656.3589572906494","0","RED",
"1","YELLOW","10040","CONGRUENT","605.7680249214172","0","YELLOW",






"","TIME:","2017-10-02T13:56:13-0700","",""
"","USER ID:","ADMIN-UCSF-pe575","",""
"","User Name:","pe575","",""
"","User Age:","11","",""
"","User Grade:","6","",""
