"","TIME:","2017-09-08T09:49:36-0700","",""
"","USER ID:","ADMIN-UCSF-bo008","",""
"","User Name:","bo008","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","19","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"0","0","-0.7853981852531433","1500","0","Hard","0","1243.494987487793","0","4",
"0","1","1.308996915817261","1500","0","Hard","0.2617993950843811","596.6950058937073","0","4",
"0","1","0.7853981852531433","1500","0","Medium","-0.7853981852531433","1163.529992103577","0","4",
"1","0","1.570796370506287","1500","0","Medium","0","979.8430204391479","0","4",
"0","0","-1.047197580337524","1500","0","Medium","0","1576.74503326416","0","4",
"0","0","0.7853981852531433","1500","0","Medium","0","1781.038045883179","0","4",
"1","1","1.570796370506287","1500","0","Easy","-0.7853981852531433","1063.772976398468","0","4",
"1","0","1.570796370506287","1500","0","Easy","0","959.2130184173584","0","4",
"0","1","1.047197580337524","1500","0","Medium","3.141592741012573","1245.50199508667","0","4",
"1","0","3.141592741012573","1500","0","Medium","0","919.0000295639038","0","4",


"R2B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"0","1","-0.7853981852531433","1500","2","Medium","-1.047197580337524","1847.065031528473","0","2",
"0","0","0.7853981852531433","1500","2","Medium","0","1511.152982711792","0","2",
"1","1","3.141592741012573","1500","2","Easy","0.7853981852531433","891.8359875679016","0","2",
"1","0","3.141592741012573","1500","2","Easy","0","757.5820088386536","0","2",
"0","1","0.5235987901687622","1500","2","Medium","-0.5235987901687622","857.1640253067017","0","2",
"1","1","0.7853981852531433","1500","2","Medium","-0.5235987901687622","891.776978969574","0","2",
"1","0","0.5235987901687622","1500","2","Medium","0","1175.648987293243","0","2",
"0","1","1.308996915817261","1500","2","Hard","0.5235987901687622","1304.26299571991","0","2",
"1","1","-0.5235987901687622","1500","2","Hard","0.5235987901687622","1056.335985660553","0","2",
"1","0","1.308996915817261","1500","2","Hard","0","709.3290090560913","0","2",
"0","0","-0.5235987901687622","1500","2","Hard","0","1323.253035545349","0","2",
"1","0","-0.2617993950843811","1500","2","Hard","0","1207.050979137421","0","2",


"R2B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","0","-0.7853981852531433","1500","0","Easy","0","782.8880548477173","0","2",
"1","1","0.7853981852531433","1500","0","Easy","1.570796370506287","921.5930104255676","0","2",
"0","1","0.7853981852531433","1500","0","Medium","1.047197580337524","522.3219990730286","0","2",
"1","1","3.141592741012573","1500","0","Medium","-1.047197580337524","1266.71701669693","0","2",
"1","0","0.5235987901687622","1500","0","Medium","0","804.9980401992798","0","2",
"1","0","-1.308996915817261","1500","0","Hard","0","788.4269952774048","0","2",
"1","1","1.570796370506287","1500","0","Hard","-0.5235987901687622","731.6439747810364","0","2",
"1","1","-0.5235987901687622","1500","0","Hard","1.047197580337524","936.3479614257812","0","2",
"1","0","-0.2617993950843811","1500","0","Hard","0","850.7930040359497","0","2",
"1","0","3.141592741012573","1500","0","Hard","0","1032.682001590729","0","2",
"1","1","0.7853981852531433","1500","0","Hard","1.047197580337524","833.7900042533875","0","2",
"0","0","1.047197580337524","1500","0","Hard","0","1280.591011047363","0","2",


"R4B2",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"0","1","1.570796370506287","1500","2","Hard","-1.308996915817261","650.6149768829346","0","4",
"0","1","1.047197580337524","1500","2","Hard","-1.047197580337524","519.2509889602661","0","4",
"1","1","1.047197580337524","1500","2","Medium","-0.7853981852531433","652.0010232925415","0","4",
"0","1","0.5235987901687622","1500","2","Medium","1.047197580337524","N/A","0","4",
"0","0","-0.5235987901687622","1500","2","Medium","0","N/A","0","4",
"0","0","0.7853981852531433","1500","2","Easy","0","N/A","0","4",
"0","0","3.141592741012573","1500","2","Easy","0","N/A","0","4",
"0","0","0.7853981852531433","1500","2","Easy","0","N/A","0","4",
"0","0","-0.7853981852531433","1500","2","Easy","0","N/A","0","4",
"0","0","0.7853981852531433","1500","2","Easy","0","N/A","0","4",
